date,country_code,country_name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
2/29/2012,30503,Colombia,ND,-412,173,400,11183,ND,185,356,175,5735
2/29/2012,31704,Mexico,ND,646,518,1027,52069,ND,291,1833,-285,64741
2/29/2012,31887,Panama,ND,-38,55,61,4216,ND,52,230,208,16225
2/29/2012,32204,Peru,ND,1352,46,-759,6086,ND,57,-30,-194,3346
2/29/2012,32409,TrinidadTobago,ND,4,37,-38,1108,ND,2,0,-3,2
2/29/2012,32603,Uruguay,ND,-99,-3,230,2301,ND,-12,0,12,1
2/29/2012,32719,Venezuela,ND,83,1210,125,10648,ND,4,9,-3,88
2/29/2012,34401,CaribTotal,ND,3493,816,2053,265398,ND,-3677,45630,-5549,803834
2/29/2012,35254,Aruba,ND,-58,17,-8,500,ND,0,0,0,0
2/29/2012,35319,Bahamas,ND,-739,4,886,1499,ND,-229,272,163,3576
2/29/2012,35602,Bermuda,ND,-383,105,1191,25647,ND,373,7632,-828,146808
2/29/2012,35807,BritishVI,ND,220,22,-220,4747,ND,289,2872,472,50179
2/29/2012,36137,Cayman,ND,4670,124,890,225634,ND,-3292,26934,16,530352
2/29/2012,36188,Curacao,ND,,,,,ND,,,,
2/29/2012,37206,NethAnt,ND,86,15,-206,3738,ND,67,2211,-406,72580
2/29/2012,39001,CaribBanking,ND,3376,302,2879,265312,ND,-3318,37279,2939,819430
2/29/2012,39942,LATotal,ND,1742,2817,7189,154837,ND,779,12257,1986,296085
2/29/2012,41408,China,ND,-1453,1,1338,1840,ND,-121,6074,-1843,82536
2/29/2012,42005,HongKong,ND,71,9,-163,2737,ND,1205,9603,521,134018
2/29/2012,42102,India,ND,37,7,4,2904,ND,346,3191,419,70728
2/29/2012,42218,Indonesia,ND,-93,114,-45,12328,ND,-107,-376,48,28304
2/29/2012,42501,Israel,ND,-220,26,154,18372,ND,18,-1055,2969,42734
2/29/2012,42609,Japan,ND,944,-2900,2435,59647,ND,1844,20454,-3235,428474
2/29/2012,43001,Korea,ND,858,103,-536,29611,ND,540,5745,-123,134487
2/29/2012,43419,Lebanon,ND,-2,0,-3,153,ND,8,11,-24,139
2/29/2012,43605,Malaysia,ND,-444,180,246,10599,ND,10,851,181,22687
2/29/2012,44806,Philippines,ND,-288,95,183,6124,ND,-27,514,-26,10666
2/29/2012,46019,Singapore,ND,-759,69,935,10147,ND,896,2559,-978,57432
2/29/2012,46302,Taiwan,ND,-612,6,518,249,ND,184,5906,483,85499
2/29/2012,46418,Thailand,ND,278,31,-268,1977,ND,436,2710,-37,26370
2/29/2012,46604,UAE,ND,-26,5,490,4349,ND,28,97,53,1319
2/29/2012,49999,AsiaTotal,ND,-1947,-2158,5333,171146,ND,6065,56588,-3261,1127103
2/29/2012,53201,Liberia,ND,-86,43,107,1894,ND,5,105,43,2626
2/29/2012,53805,Mauritius,ND,-11,6,-142,75,ND,-375,268,177,4872
2/29/2012,55719,SouthAfrica,ND,-105,553,-187,12719,ND,90,4286,-735,65658
2/29/2012,57002,Egypt,ND,0,4,-4,936,ND,9,272,123,3784
2/29/2012,59994,AfricaTotal,ND,-2,676,-566,17690,ND,496,5423,-1480,78641
2/29/2012,60089,Australia,ND,885,650,885,138324,ND,-582,2751,1239,144912
2/29/2012,61689,NZealand,ND,-7,70,65,10760,ND,0,117,-80,3399
2/29/2012,66666,EME,ND,-1638,5590,10659,324053,ND,5610,60480,1981,1163714
2/29/2012,69995,ForeignAll,ND,12147,18314,22309,1972451,ND,6383,259095,837,5050164
2/29/2012,79995,IROTotal,ND,-3564,1021,7606,47554,ND,-60,169,-422,15
2/29/2012,99996,Total,ND,8583,16328,32672,2019921,ND,6323,259032,-2023,5050168
3/31/2012,10189,Austria,ND,-759,-36,1449,6062,ND,21,-197,-4,6925
3/31/2012,10251,Belgium,ND,8378,-28,-8675,4490,ND,-118,1481,834,33002
3/31/2012,10502,Denmark,ND,-362,-75,-52,6666,ND,58,-869,267,38570
3/31/2012,10707,Finland,ND,409,-36,-413,3942,ND,-75,-42,58,20493
3/31/2012,10804,France,ND,-2693,-750,4984,93683,ND,-773,-1903,2914,235537
3/31/2012,11002,Germany,ND,-7633,-641,6870,80916,ND,429,1825,-411,209601
3/31/2012,11207,Greece,ND,-153,-23,-24,524,ND,7,-35,68,3222
3/31/2012,11401,Ireland,ND,3992,-256,-3891,35169,ND,1454,3530,76,133701
3/31/2012,11509,Italy,ND,-1485,-245,-344,21362,ND,94,-1227,1293,47607
3/31/2012,11703,Luxembourg,ND,5080,-925,-3358,65565,ND,-1277,-293,1589,33093
3/31/2012,12009,Monaco,ND,-13,0,12,0,ND,-332,-1,327,10
3/31/2012,12106,Netherlands,ND,5047,-1082,773,113095,ND,1152,1365,1534,138125
3/31/2012,12203,Norway,ND,-1103,-412,-186,26943,ND,-631,-1007,992,24277
3/31/2012,12319,Portugal,ND,18,48,146,1121,ND,4,-20,148,3901
3/31/2012,12505,Spain,ND,-3787,-338,2065,19647,ND,269,-3396,1519,54848
3/31/2012,12602,Sweden,ND,3328,-456,-2816,36227,ND,13,-1905,621,60552
3/31/2012,12688,Switzerland,ND,1866,-141,-1332,5543,ND,715,4944,-586,307995
3/31/2012,12807,Turkey,ND,-273,-47,224,11243,ND,71,19,-249,21360
3/31/2012,13005,UK,ND,-24318,-2439,24441,274031,ND,972,-11252,10315,697474
3/31/2012,13006,Guernsey,ND,22,-8,-250,3412,ND,-40,-312,1176,15603
3/31/2012,13007,Jersey,ND,4,-85,188,5057,ND,-471,-612,41,37471
3/31/2012,15288,CzechRep,ND,12,-4,23,585,ND,11,-55,15,4306
3/31/2012,15768,Poland,ND,-34,-187,456,19584,ND,51,-175,74,8186
3/31/2012,16101,Russia,ND,120,-2,331,9232,ND,-80,-3167,337,53357
3/31/2012,16713,EuroArea,ND,6531,-4318,-658,445204,ND,1245,1074,9425,919602
3/31/2012,19992,EurTotal,ND,-14167,-8365,21346,861573,ND,3234,-13792,19714,2196864
3/31/2012,29998,Canada,ND,-3189,-4593,5864,348501,ND,596,-13293,-6560,380748
3/31/2012,30104,Argentina,ND,-37,-251,114,6813,ND,-97,9,-203,2545
3/31/2012,30155,Barbados,ND,917,1,-946,1464,ND,129,-6,106,323
3/31/2012,30309,Brazil,ND,2463,-1696,-1067,47323,ND,-165,-12557,1988,179375
3/31/2012,30406,Chile,ND,-250,-102,163,11845,ND,-54,42,471,13451
3/31/2012,30503,Colombia,ND,288,-20,-62,11390,ND,-27,18,188,5914
3/31/2012,31704,Mexico,ND,2935,-23,-811,54170,ND,174,2813,-1238,66490
3/31/2012,31887,Panama,ND,-176,5,184,4229,ND,-17,734,155,17098
3/31/2012,32204,Peru,ND,-142,62,731,6738,ND,85,84,-179,3337
3/31/2012,32409,TrinidadTobago,ND,-16,0,46,1138,ND,-1,0,3,3
3/31/2012,32603,Uruguay,ND,-14,14,116,2417,ND,-7,0,7,1
3/31/2012,32719,Venezuela,ND,-22,-206,442,10862,ND,-1,-6,22,102
3/31/2012,34401,CaribTotal,ND,1253,-2125,1975,266500,ND,-857,-21292,27981,809666
3/31/2012,35254,Aruba,ND,-17,0,44,527,ND,-6,0,6,0
3/31/2012,35319,Bahamas,ND,-90,-14,109,1504,ND,-207,-62,302,3609
3/31/2012,35602,Bermuda,ND,115,-345,529,25946,ND,273,-2590,4548,149038
3/31/2012,35807,BritishVI,ND,-1417,-68,856,4118,ND,-2117,-967,5893,52988
3/31/2012,36137,Cayman,ND,682,-1618,2499,227197,ND,-1775,-9097,16625,536105
3/31/2012,36188,Curacao,ND,,,,,ND,,,,
3/31/2012,37206,NethAnt,ND,137,-46,-210,3619,ND,-216,-6936,-715,64713
3/31/2012,39001,CaribBanking,ND,2085,-2019,989,266366,ND,175,-17952,21709,823363
3/31/2012,39942,LATotal,ND,5028,-2233,-387,157245,ND,-113,-8865,1217,288325
3/31/2012,41408,China,ND,-926,1,153,1069,ND,-696,-6867,-1696,73277
3/31/2012,42005,HongKong,ND,-959,-23,979,2733,ND,653,-5995,-4166,124510
3/31/2012,42102,India,ND,106,-13,-181,2817,ND,228,-3811,1351,68496
3/31/2012,42218,Indonesia,ND,35,-137,-27,12199,ND,204,426,246,29180
3/31/2012,42501,Israel,ND,-427,218,-253,17911,ND,-66,797,844,44310
3/31/2012,42609,Japan,ND,-3619,-989,4081,59119,ND,1224,1591,-368,430921
3/31/2012,43001,Korea,ND,-531,-417,604,29267,ND,-193,-828,637,134102
3/31/2012,43419,Lebanon,ND,-44,0,45,154,ND,-3,-6,10,140
3/31/2012,43605,Malaysia,ND,-157,-272,419,10590,ND,-95,-144,283,22731
3/31/2012,44806,Philippines,ND,73,-49,-270,5878,ND,-59,392,63,11062
3/31/2012,46019,Singapore,ND,-246,-117,634,10418,ND,-926,-338,1029,57197
3/31/2012,46302,Taiwan,ND,-90,-2,92,249,ND,529,-1923,1518,85623
3/31/2012,46418,Thailand,ND,-69,-17,68,1960,ND,135,-153,953,27305
3/31/2012,46604,UAE,ND,461,49,-456,4403,ND,-28,-59,25,1257
3/31/2012,49999,AsiaTotal,ND,-6667,-1703,5996,168773,ND,714,-17060,-373,1110384
3/31/2012,53201,Liberia,ND,-6,2,-38,1852,ND,0,77,-97,2606
3/31/2012,53805,Mauritius,ND,1,0,149,225,ND,-196,-163,637,5151
3/31/2012,55719,SouthAfrica,ND,412,-273,-186,12672,ND,51,-3029,317,62997
3/31/2012,57002,Egypt,ND,75,21,-95,936,ND,-4,-161,-109,3510
3/31/2012,59994,AfricaTotal,ND,259,-247,77,17779,ND,302,-3579,761,76125
3/31/2012,60089,Australia,ND,4972,-2096,3163,144363,ND,-312,-4504,-569,139527
3/31/2012,61689,NZealand,ND,-107,-205,-5,10443,ND,4,94,134,3630
3/31/2012,66666,EME,ND,2064,-3435,2640,325322,ND,-268,-34473,2149,1131122
3/31/2012,69995,ForeignAll,ND,-12624,-19901,36010,1975936,ND,3544,-82784,43113,5014038
