date,country_name,country_code,ftot_agcy_survey_pos,ftot_agcy_adj_net_flow,ftot_agcy_adj_val_chg,ftot_agcy_monthly_gap,ftot_agcy_est_pos,ftot_corp_survey_pos,ftot_corp_adj_net_flow,ftot_corp_adj_val_chg,ftot_corp_monthly_gap,ftot_corp_est_pos,ftot_stk_survey_pos,ftot_stk_adj_net_flow,ftot_stk_adj_val_chg,ftot_stk_monthly_gap,ftot_stk_est_pos,ftot_treas_survey_pos,ftot_treas_adj_net_flow,ftot_treas_adj_val_chg,ftot_treas_monthly_gap,ftot_treas_est_pos
7/31/2011,France,10804,ND,883,12,-889,1771,ND,-1443,565,-544,58729,ND,-954,-2905,1870,139134,ND,2598,356,-10495,25286
7/31/2011,Germany,11002,ND,62,51,-2,7398,ND,-525,797,587,85785,ND,644,-1669,-1208,78859,ND,56,629,1009,59633
7/31/2011,Greece,11207,ND,1,1,78,152,ND,-1,21,207,2502,ND,-16,-33,-86,1488,ND,-3,11,91,1080
7/31/2011,Ireland,11401,ND,-632,179,1276,26480,ND,135,1209,-1403,128770,ND,50,-2170,-3385,99919,ND,-2306,340,3726,33043
7/31/2011,Italy,11509,ND,-21,17,22,2433,ND,-15,37,57,4006,ND,969,-316,-788,15214,ND,843,204,-158,19693
7/31/2011,Luxembourg,11703,ND,-402,132,4732,23458,ND,-993,3287,-9072,343433,ND,-748,-5987,-1318,282821,ND,-514,952,-723,87345
7/31/2011,Netherlands,12106,ND,-132,84,210,12174,ND,-300,526,-280,56007,ND,-55,-3396,795,162343,ND,-804,231,68,20771
7/31/2011,Norway,12203,ND,331,63,-1283,8211,ND,-977,205,460,21544,ND,312,-2550,-842,120793,ND,-2636,280,2865,26253
7/31/2011,Portugal,12319,ND,0,0,2,59,ND,-1,5,-10,481,ND,-145,-66,469,3474,ND,16,21,18,1979
7/31/2011,Spain,12505,ND,55,9,2,1304,ND,-33,39,-205,3928,ND,-145,-208,-805,8925,ND,806,105,-277,10333
7/31/2011,Sweden,12602,ND,11,11,-23,1556,ND,-206,118,84,12583,ND,-468,-1330,310,63104,ND,-34,295,348,27763
7/31/2011,Switzerland,12688,ND,-124,98,392,14433,ND,-69,1176,-6253,120175,ND,-1089,-4718,-3060,220336,ND,406,1155,-917,107018
7/31/2011,Turkey,12807,ND,0,0,,,ND,0,1,-7,74,ND,-4,-5,-34,218,ND,861,131,-185,12912
7/31/2011,UK,13005,ND,-4324,82,3231,10776,ND,4271,3698,4522,406520,ND,-1278,-9087,4730,435836,ND,3938,1281,-24657,98502
7/31/2011,Guernsey,13006,ND,-11,16,-140,2103,ND,27,37,-131,3928,ND,-6,-256,383,12564,ND,-42,11,234,1253
7/31/2011,Jersey,13007,ND,-15,3,132,491,ND,8,158,-798,16218,ND,50,-284,-604,12956,ND,-106,14,-194,1043
7/31/2011,Poland,15768,ND,0,1,-77,78,ND,6,1,-19,145,ND,-32,-3,-34,94,ND,1288,287,-349,27617
7/31/2011,Russia,16101,ND,0,12,-556,1126,ND,2,4,-16,413,ND,-13,-7,-32,272,ND,1886,1478,3103,142614
7/31/2011,EuroArea,16713,ND,-210,535,4693,81846,ND,-4007,9537,-7420,1014177,ND,-978,-17680,-5159,835128,ND,748,3821,638,357074
7/31/2011,EurTotal,19992,ND,-4299,843,6627,124097,ND,-1000,15157,-10385,1618601,ND,-3991,-36828,-5311,1743041,ND,5338,9241,-25294,840218
7/31/2011,Canada,29998,ND,-1037,34,-232,3670,ND,-587,848,-305,90273,ND,-26,-8550,1297,408080,ND,1011,386,-1714,35226
7/31/2011,Argentina,30104,ND,-1,1,-31,166,ND,48,19,-182,1857,ND,-131,-101,-321,4358,ND,-26,14,-17,1252
7/31/2011,Barbados,30155,ND,12,4,24,643,ND,30,31,94,3424,ND,41,-22,81,1177,ND,-428,31,-33,2431
7/31/2011,Brazil,30309,ND,548,9,-26,1853,ND,111,9,-85,987,ND,-207,-50,-38,2135,ND,3256,2302,1016,218574
7/31/2011,Chile,30406,ND,-2,0,101,169,ND,40,13,-8,1433,ND,-162,-371,-869,16632,ND,225,166,-508,15179
7/31/2011,Colombia,30503,ND,-47,15,-27,2111,ND,-43,19,33,2016,ND,-23,-135,102,6506,ND,-62,75,338,7280
7/31/2011,Mexico,31704,ND,2724,199,573,31999,ND,300,97,-526,10245,ND,-54,-522,-1234,23528,ND,-322,320,118,29573
7/31/2011,Panama,31887,ND,38,10,0,1536,ND,47,33,-59,3492,ND,-152,-158,-136,7250,ND,-5,6,74,653
7/31/2011,Peru,32204,ND,12,15,-14,2160,ND,28,15,77,1725,ND,110,-53,133,2782,ND,35,85,-58,7911
7/31/2011,TrinidadTobago,32409,ND,10,5,26,802,ND,-3,12,14,1256,ND,13,-25,-25,1200,ND,-21,50,-47,4586
7/31/2011,Uruguay,32603,ND,14,2,-29,306,ND,24,9,-123,855,ND,-5,-38,-76,1723,ND,200,49,28,4743
7/31/2011,Venezuela,32719,ND,-1,3,4,401,ND,17,17,-123,1677,ND,-35,-46,-95,2048,ND,-9,29,-53,2659
7/31/2011,CaribTotal,34401,ND,5816,593,-4270,87233,ND,807,4385,-3351,469031,ND,4279,-11494,8124,559322,ND,-5712,1206,-6330,100264
7/31/2011,Aruba,35254,ND,25,2,-28,346,ND,0,0,0,48,ND,8,-10,-10,458,ND,0,1,3,120
7/31/2011,Bahamas,35319,ND,-5,15,-296,1868,ND,-11,42,-169,4308,ND,62,-385,-444,17941,ND,-1745,48,-979,1704
7/31/2011,Bermuda,35602,ND,-33,289,-235,41543,ND,62,938,-266,100675,ND,-666,-1212,-1186,55833,ND,-342,472,371,44010
7/31/2011,BritishVI,35807,ND,-71,8,33,1182,ND,49,201,-388,21239,ND,474,-1253,4937,65017,ND,74,70,619,7179
7/31/2011,Cayman,36137,ND,5856,260,-3456,39933,ND,219,3109,-1553,333045,ND,3872,-8095,7474,396540,ND,-3178,512,-4267,40189
7/31/2011,NethAnt,37206,ND,21,2,-122,230,ND,481,39,-1142,3556,ND,841,-116,-978,5406,ND,-416,11,-72,573
7/31/2011,CaribBanking,39001,ND,5807,585,-4225,86145,ND,846,4361,-3740,466152,ND,4431,-11220,9846,548164,ND,-5612,1119,-5753,92808
7/31/2011,LATotal,39942,ND,3489,260,342,41444,ND,659,244,-1194,25680,ND,-675,-1521,-2720,68980,ND,2968,3114,577,293455
7/31/2011,China,41408,ND,-5935,1705,-1771,238747,ND,702,148,-429,16218,ND,-965,-3268,6919,161467,ND,2391,14144,-22880,1296059
7/31/2011,HongKong,42005,ND,-37,803,2383,118419,ND,201,132,-652,13790,ND,-32,-895,-513,42034,ND,132,576,1989,55757
7/31/2011,India,42102,ND,0,0,0,2,ND,-3,0,-7,28,ND,-37,-21,-67,893,ND,139,293,429,27852
7/31/2011,Indonesia,42218,ND,143,9,-26,1345,ND,-17,2,32,277,ND,-5,-6,-25,268,ND,1686,187,960,20069
7/31/2011,Israel,42501,ND,25,10,-120,1384,ND,-45,34,-394,3208,ND,-34,-402,-419,18657,ND,-326,139,181,12808
7/31/2011,Japan,42609,ND,115,1798,-4247,255736,ND,-644,1315,78,140866,ND,942,-6214,-136,296500,ND,1134,8883,8321,836345
7/31/2011,Korea,43001,ND,667,461,-1572,65741,ND,-771,94,640,9979,ND,-57,-411,235,19754,ND,-507,354,-87,32315
7/31/2011,Malaysia,43605,ND,-482,139,-31,19636,ND,30,29,0,3159,ND,-28,-72,175,3594,ND,1223,150,266,15465
7/31/2011,Philippines,44806,ND,0,0,-12,9,ND,-10,3,-87,248,ND,27,-24,-50,1141,ND,2464,290,237,29712
7/31/2011,Singapore,46019,ND,-27,12,261,1983,ND,-388,359,183,38450,ND,-217,-2198,-1014,103333,ND,499,628,299,59248
7/31/2011,Taiwan,46302,ND,160,322,1585,48350,ND,166,212,534,23496,ND,-248,-328,207,15551,ND,386,1567,6257,152508
7/31/2011,Thailand,46418,ND,0,0,-4,9,ND,-67,7,51,685,ND,-46,-38,-42,1708,ND,1644,188,75,19212
7/31/2011,AsiaTotal,49999,ND,-5471,5349,-3182,764455,ND,-1068,2544,-692,271785,ND,-723,-17817,8989,856056,ND,11506,28860,-2255,2695666
7/31/2011,Liberia,53201,ND,-1,1,-29,60,ND,-3,3,-74,242,ND,-15,-18,-73,756,ND,0,1,-6,45
7/31/2011,Mauritius,53805,ND,0,0,0,4,ND,0,0,-2,21,ND,-7,-11,-29,475,ND,-4,1,-3,77
7/31/2011,SouthAfrica,55719,ND,20,0,14,78,ND,-16,9,-28,977,ND,-129,-59,28,2714,ND,-51,108,-130,9852
7/31/2011,Egypt,57002,ND,1,1,4,92,ND,-9,5,-24,527,ND,-7,-5,-17,194,ND,12,25,-45,2296
7/31/2011,AfricaTotal,59994,ND,27,5,-12,804,ND,167,27,-280,2785,ND,-155,-169,-611,7259,ND,1132,262,-322,25224
7/31/2011,Australia,60089,ND,-211,37,-198,5005,ND,-155,249,-840,25742,ND,84,-2179,-1646,102104,ND,-945,180,640,16455
7/31/2011,NZealand,61689,ND,3,3,-2,375,ND,-7,16,68,1798,ND,108,-156,-19,7527,ND,-132,23,-408,1624
7/31/2011,ForeignAll,69995,ND,-1676,7125,-1128,1027024,ND,-1195,23471,-25625,2633321,ND,-1098,-78734,9519,3756531,ND,15160,43274,-37318,4006035
7/31/2011,IROTotal,79995,ND,-10,52,-183,8108,ND,-187,136,-189,14259,ND,20,-63,287,3296,ND,157,374,-2255,61071
7/31/2011,FOI_All_Countries,99990,ND,-4102,4421,-2137,632760,ND,-373,975,-2324,102204,ND,-618,-11676,-5006,549926,ND,14166,33686,-11740,3138103
7/31/2011,Total,99996,ND,-1686,7178,-1310,1035134,ND,-1382,23607,-6353,2667041,ND,-1078,-78797,9732,3759753,ND,15317,43648,-39523,4067155
8/31/2011,Austria,10189,ND,-26,5,0,426,ND,-30,-11,-124,2035,ND,-7,-374,115,6341,ND,6,37,-3,2177
8/31/2011,Belgium,10251,ND,-33,67,309,7269,ND,-1786,-1588,3213,325203,ND,-702,-1382,-362,21094,ND,-81,1494,12533,112392
8/31/2011,Denmark,10502,ND,-13,11,31,1142,ND,-84,-89,-967,15888,ND,121,-1883,-583,29660,ND,662,117,403,8304
8/31/2011,Finland,10707,ND,0,3,-3,286,ND,-48,-14,8,2813,ND,-242,-764,-241,11721,ND,96,39,88,2536
8/31/2011,France,10804,ND,1337,27,-1345,1789,ND,-1349,-292,-529,56559,ND,-10944,-7924,1613,121879,ND,15270,621,-15156,26020
8/31/2011,Germany,11002,ND,-74,75,-2,7397,ND,-834,-420,578,85109,ND,-1612,-4622,-1114,71511,ND,-1080,1017,1008,60577
8/31/2011,Greece,11207,ND,0,1,78,230,ND,1,-11,206,2698,ND,-35,-91,-79,1283,ND,-54,17,87,1130
8/31/2011,Ireland,11401,ND,-381,256,1270,27625,ND,-258,-642,-1393,126478,ND,-62,-5964,-3187,90706,ND,158,509,3810,37520
8/31/2011,Italy,11509,ND,42,24,23,2523,ND,-178,-19,55,3863,ND,-586,-924,-714,12991,ND,-3,344,-161,19873
8/31/2011,Luxembourg,11703,ND,-368,190,4687,27967,ND,-848,-1737,-9005,331843,ND,-905,-16403,-1238,264275,ND,-144,1528,-735,87994
8/31/2011,Netherlands,12106,ND,-10,121,212,12497,ND,-197,-277,-278,55254,ND,-583,-9326,746,153180,ND,14,359,69,21213
8/31/2011,Norway,12203,ND,-377,96,-1245,6686,ND,-1629,-104,422,20234,ND,18,-7022,-794,112995,ND,3916,406,3394,33969
8/31/2011,Portugal,12319,ND,0,1,2,61,ND,2,-2,-10,471,ND,-48,-173,434,3686,ND,42,34,19,2074
8/31/2011,Spain,12505,ND,-48,13,2,1271,ND,-105,-20,-198,3604,ND,-198,-562,-742,7423,ND,-550,184,-268,9700
8/31/2011,Sweden,12602,ND,-4,16,-23,1545,ND,23,-62,83,12627,ND,-873,-3625,288,58894,ND,105,476,356,28699
8/31/2011,Switzerland,12688,ND,55,142,397,15029,ND,524,-623,-6248,113828,ND,-852,-12897,-2871,203716,ND,19484,1872,-1098,127275
8/31/2011,Turkey,12807,ND,0,0,,,ND,0,0,-7,67,ND,0,-15,-32,172,ND,-3,227,-188,12948
8/31/2011,UK,13005,ND,-1480,77,2630,12002,ND,1498,-1981,4516,410553,ND,2628,-24888,4486,418062,ND,38809,2136,-32854,106593
8/31/2011,Guernsey,13006,ND,3,23,-142,1987,ND,12,-20,-131,3789,ND,202,-703,367,12430,ND,399,18,330,1999
8/31/2011,Jersey,13007,ND,65,4,157,717,ND,-212,-84,-784,15138,ND,90,-783,-573,11690,ND,1150,21,-377,1837
8/31/2011,Poland,15768,ND,230,2,-191,118,ND,-2,-1,-19,123,ND,6,-7,-34,59,ND,-66,485,-354,27682
8/31/2011,Russia,16101,ND,0,17,-562,581,ND,0,-2,-16,395,ND,11,-18,-31,235,ND,-4610,2420,3054,143478
