"Hoofdpost","Subpost 1","Subpost 2","Sector","Subsector","&label7","Period ","waarde"
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2012Q3",-126479
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2012Q4",-108513
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2013Q1",-111109
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2013Q2",-114491
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2013Q3",-124983
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2013Q4",-99622
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2014Q1",-104039
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2014Q2",-110676
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2014Q3",-101289
"Net portfolio investment ","Net debt securities ","Net short term debt securities ","Total ","Total ","Total ","2014Q4",-85653.2
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2003Q2",-357665
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2003Q3",-364207
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2003Q4",-321620
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2004Q1",-317679
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2004Q2",-324953
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2004Q3",-319947
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2004Q4",-325043
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2005Q1",-312528
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2005Q2",-338764
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2005Q3",-318050
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2005Q4",-307244
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2006Q1",-322715
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2006Q2",-343023
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2006Q3",-346636
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2006Q4",-370676
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2007Q1",-369395
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2007Q2",-396881
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2007Q3",-375506
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2007Q4",-399486
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2008Q1",-412731
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2008Q2",-447977
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2008Q3",-435695
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2008Q4",-437308
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2009Q1",-494383
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2009Q2",-488434
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2009Q3",-487726
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2009Q4",-488526
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2010Q1",-531124
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2010Q2",-559028
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2010Q3",-554036
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2010Q4",-567101
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2011Q1",-558291
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2011Q2",-599334
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2011Q3",-601557
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2011Q4",-608030
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2012Q1",-625635
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2012Q2",-634911
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2012Q3",-622737
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2012Q4",-612989
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2013Q1",-602353
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2013Q2",-601173
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2013Q3",-582017
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2013Q4",-584863
